"","X","song","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"2086",301,"54.mp3",159.580395334498,8.39020202189928,-5.05829242973535,6.42941191573332,-8.00556406577832,17.2325682547801,-8.84743538886372,14.800972159722,-11.6286035380841,12.0668088960274,-12.5226106449945,8.07114912854776,"electronic"
"2087",302,"54.mp3",170.35715731924,15.6064088137428,-14.7969484717829,7.33504399634077,-13.8080590356694,14.0489739248414,-19.1549964763675,9.62013975753193,-17.9942035561862,4.53606929201413,-13.2592103713097,8.92302177516518,"electronic"
"2088",303,"54.mp3",171.711505920621,15.4107903330052,-16.0729270525306,10.3312338690824,-16.9569008402457,12.9096462087477,-14.3659193939244,11.5006848221873,-14.2850384222656,5.35146811931268,-11.6147602918897,10.0133795103773,"electronic"
"2089",304,"54.mp3",172.523150324043,15.6790428475611,-17.7884691804458,12.1493804495759,-13.9155683997131,14.1619501494637,-14.8826799169317,10.8166115128523,-11.7992828834178,6.24891408987882,-10.9570238466941,7.53120366138414,"electronic"
"2090",305,"54.mp3",174.305634623419,13.0122129426579,-15.291935406751,14.7649680914535,-13.0195254037133,17.2755979929695,-14.8628504661433,12.8266157020728,-11.6690040227208,11.9600555504126,-10.9073399366418,10.3889935225767,"electronic"
"2091",306,"54.mp3",179.746373492281,6.9111056670009,-14.2113176252603,17.9891231844581,-16.0509630654647,20.749772460119,-17.0935514042273,18.5991768236012,-15.3941840621876,15.7507870825368,-13.3656082176014,14.9452370600631,"electronic"
"2092",307,"55.mp3",162.539694217286,13.7926708153698,-17.4924720171133,3.77796071109811,-14.2576712400146,7.02084651565068,-19.7504903000525,9.27842705818572,-14.8560610575859,10.2808319816794,-9.57471843937547,8.99513496613865,"electronic"
"2093",308,"55.mp3",174.04208832058,6.58742358720223,-16.1167460444394,13.0984830685229,-12.9882582283697,16.8731178774785,-13.2352484808432,15.2729874237846,-12.3063037720049,13.7472447717158,-11.5570351564845,12.5357150201306,"electronic"
"2094",309,"55.mp3",177.480452126358,5.73243949990346,-14.3649401124061,9.83637962265386,-13.9764072381862,14.2274306470657,-13.8171831384844,13.4313932194614,-11.6949691927983,16.3039436187413,-9.68851305510318,15.7847352692313,"electronic"
"2095",310,"55.mp3",178.843795794221,2.81403028395927,-12.107758176789,15.6389668129968,-15.1258892766476,17.8027167916423,-12.1384350889166,17.0070578036003,-12.9833341375294,17.8182131122869,-12.5739477196221,16.5669178718826,"electronic"
"2096",311,"55.mp3",179.939658742824,4.89875302928791,-14.1263400721883,14.1398855619304,-16.7124071279953,18.0459881998248,-12.1519301272415,16.2583431341189,-13.4375505564875,13.8156944440588,-13.2311305505414,15.1296492004582,"electronic"
"2097",312,"55.mp3",180.697748085851,4.28563631572928,-12.7656677258366,13.9778463687501,-15.8840716986688,17.638974638524,-12.6539875396183,14.8928441279908,-15.8846394823421,13.9364986677422,-12.7071072813706,17.6963408909749,"electronic"
"2098",313,"56.mp3",136.77593773987,22.3821940138684,-7.31422714177263,9.31551342090165,3.9377831309219,8.09164352189004,-3.6606218782551,4.95992632604418,-1.10834458850024,-0.976727689798502,-1.48756738548927,4.30676584497218,"electronic"
"2099",314,"56.mp3",174.799269931348,2.65542167164112,-9.54125832839412,18.3555290406415,-13.9146006378195,20.8971143658314,-16.585999947693,19.3836381737367,-16.8754171093364,17.4950312822041,-15.5835690779069,16.2826210606709,"electronic"
"2100",315,"56.mp3",174.328689144168,3.12535267340103,-9.42049051144905,17.4982848793644,-11.9531603004609,18.9818552059922,-15.0761906944015,18.3004665733504,-16.1406985860905,17.4705239058004,-15.9872089664375,16.4875456495441,"electronic"
"2101",316,"56.mp3",181.718281737703,0.315164431094582,-8.9300050618461,16.0711905881092,-14.864613587336,18.6494635532767,-16.2516681265013,19.9685300398182,-15.6298036863092,18.9380837918335,-14.9930183714073,17.5561349761691,"electronic"
"2102",317,"56.mp3",180.836797023762,-0.38557924308566,-9.64505042329552,16.8332950512951,-14.1487079306388,20.6603604268039,-14.5814212740248,21.6774668872047,-16.5867571790704,17.07504126953,-17.2906411466735,17.3951027332366,"electronic"
"2103",318,"56.mp3",180.774316468368,1.03832800350283,-10.8947791543895,17.6668577083658,-16.6472581476444,21.4846137222302,-17.9097117394108,22.6235387752404,-17.3969708468186,20.974229202678,-16.6771014621823,18.9116958347132,"electronic"
"2104",319,"57.mp3",166.694440460499,-2.22503485750257,-17.1396075217948,14.0919754523196,-17.6304114981783,14.2867356177872,-19.9443544633765,14.3310022343349,-19.111096738265,12.8126099990649,-15.901457113955,14.6961428164004,"electronic"
"2105",320,"57.mp3",174.64017109323,5.36647200973184,-16.5861209290311,13.7672803121883,-17.0701008977409,11.9080946776529,-20.3172106243696,14.785352163907,-19.3771717766899,10.3564360122984,-17.0299897103535,17.2438675902567,"electronic"
"2106",321,"57.mp3",174.44788935356,10.2074779505674,-19.2628660131024,5.20042996954751,-17.4623437605706,10.6721627669018,-19.6386932354693,9.63569796886053,-18.5054689144528,12.6400900537808,-11.1380484435997,16.1953960439814,"electronic"
"2107",322,"57.mp3",177.270171385965,10.2609897003502,-16.3216417783112,7.62246505076888,-19.5169047792464,12.3352707619678,-19.9953474876074,14.3112805940902,-14.6648592513111,15.3778083071001,-8.54706498957663,16.1782255581531,"electronic"
"2108",323,"57.mp3",177.705570798012,8.98689851023898,-17.7027687966912,9.90854910294884,-20.482443901546,12.8981976690319,-17.0621651437932,14.0412522143917,-16.557693801881,17.8080076157046,-11.997778995686,11.6170317131634,"electronic"
"2109",324,"57.mp3",177.516122977472,10.5477675883349,-16.7039639457553,7.7407144884787,-20.3823622824724,11.9287571213493,-22.073955565308,14.6280500227978,-13.0111247529838,18.1639281484468,-8.40165614228021,14.3169306525483,"electronic"
"2110",325,"58.mp3",145.893470862583,26.0711393500262,-24.6992135914279,-4.77903350503319,-5.59193882971465,13.6893104047933,0.575032785122163,-9.66308700638051,1.8042039658798,-0.0825841643094452,-0.674423441431654,-0.749503021307857,"electronic"
"2111",326,"58.mp3",145.172300652293,25.6359178703537,-20.2339327951921,2.36285465915104,-5.40735952506241,9.53968089282648,-1.25292596068093,-9.45448942968761,0.65930444447501,1.78475534684007,-1.87788952242342,-3.30484086954962,"electronic"
"2112",327,"58.mp3",147.471544789447,17.5806746052271,-4.28991630250767,-8.5279684676772,-18.0205183964512,3.4061173837254,-15.3670668857849,1.49187335132868,-22.6632655322349,1.54132053760649,-15.863707615973,5.82734573638313,"electronic"
"2113",328,"58.mp3",172.620742199585,8.66041075666675,-15.8805409823108,13.644579604106,-17.5753809852863,17.8766534499466,-20.4021200278842,13.4911077968613,-10.2267661763912,3.12760727271578,-10.7762508577979,13.6705638153908,"electronic"
"2114",329,"58.mp3",177.75870415775,3.67202857916978,-15.313921257156,16.6570777293895,-17.7306895243799,24.3145077560281,-15.9583837930587,15.8793076404655,-11.0528025751529,8.17275913135058,-11.7989573873759,15.7669637887336,"electronic"
"2115",330,"58.mp3",180.781300031582,5.15824195621198,-13.9772315642059,14.8070861277139,-17.6978184352235,20.3473121473203,-15.7178077498322,11.3811750498695,-8.59464429613729,2.88160926456205,-7.84205151262803,10.9318287773478,"electronic"
"2116",331,"59.mp3",154.971592915336,6.82651048104287,-3.61844074721245,18.144829837307,-8.75662779190643,17.432929327602,-12.9864389763587,17.489426967525,-12.0023062288699,12.4975124262123,-10.0298356802049,12.6332854005844,"electronic"
"2117",332,"59.mp3",159.389349835868,6.62289715823078,-4.12815203421081,17.5498458012504,-9.84423574064704,15.1896964681869,-9.99445408624783,13.6291051515013,-10.5370992928425,13.5885104814669,-11.4528523500979,12.9333676202318,"electronic"
"2118",333,"59.mp3",168.177993990033,5.14658491518723,-2.86915547876769,14.5963124915243,-11.876259626952,15.1978455888625,-12.8804745272622,17.7437975112224,-12.7414229824031,17.7836255545824,-12.914597044154,16.9975414628915,"electronic"
"2119",334,"59.mp3",172.664151225645,3.51307985504122,-3.77779256178469,14.9813541837739,-12.4860905865137,13.9355820216949,-13.2207506499899,17.4862809222551,-11.7078680730291,16.3576492905821,-9.81704089163417,18.1175578276765,"electronic"
"2120",335,"59.mp3",171.786114646418,3.31910364199063,-1.19844313552107,14.8914219075965,-13.2485123439304,16.7433129816484,-14.9707569541863,17.7765827234918,-12.9258721440573,16.4858144553674,-13.5049446234077,16.8603984274636,"electronic"
"2121",336,"59.mp3",172.719968053386,5.91876953500233,-1.38152042950808,12.2707397898056,-15.0775866377278,17.8316387297214,-13.8800738151811,14.9383242053919,-17.0960702572033,12.149367207086,-12.5962601134262,18.8092299494048,"electronic"
"2122",337,"6.mp3",164.389402263123,7.66822385769858,-6.85917031111338,22.4027130049029,-19.1478801435896,18.5462113698918,-4.37979625215419,13.1456678135919,-9.14004570486734,17.3126067627728,-12.60737070862,12.7622952538438,"electronic"
